nom,rayon,masse,periode_orbite,annee,distance
BD+20 594 b,2.57807000,22.24810000,41.68550000000,2016,179.46100000
CoRoT-1 b,16.70000000,327.35000000,1.50895570000,2008,787.90900000
CoRoT-10 b,10.87273000,867.67590000,13.24060000000,2010,338.38600000
CoRoT-11 b,15.58051000,791.39670000,2.99432500000,2010,655.03700000
CoRoT-12 b,15.06489600,277.46559000,2.82805268000,2010,1126.37000000
CoRoT-13 b,14.03366800,416.99296000,4.03519000000,2010,1148.93000000
CoRoT-14 b,12.22000000,2415.40000000,1.51214000000,2010,1744.60000000
CoRoT-16 b,13.11000000,170.03200000,5.35227000000,2011,732.40900000
CoRoT-17 b,11.43318000,765.97030000,3.76810000000,2011,1176.12000000
CoRoT-18 b,12.84551400,1048.83900000,1.90009000000,2011,764.88900000
CoRoT-19 b,14.45961000,367.09365000,3.89713000000,2011,790.66300000
CoRoT-20 b,11.20900000,1315.81620000,9.24318000000,2011,844.06100000
CoRoT-22 b,4.88000000,12.20000000,9.75598000000,2014,627.15800000
CoRoT-23 b,11.77000000,889.90000000,3.63130000000,2011,1060.97000000
CoRoT-24 b,3.70000000,5.70000000,5.11340000000,2014,591.55500000
CoRoT-24 c,5.00000000,28.00000000,11.75900000000,2014,591.55500000
CoRoT-25 b,12.11000000,85.81000000,4.86069000000,2013,1103.48000000
CoRoT-26 b,14.12000000,165.26000000,4.20474000000,2013,1045.18000000
CoRoT-27 b,11.28746300,3273.64900000,3.57532000000,2014,1010.28000000
CoRoT-28 b,10.70459500,152.87623000,5.20851000000,2015,766.18300000
CoRoT-29 b,10.08810000,266.97720000,2.85057000000,2015,806.50700000
CoRoT-3 b,11.32109000,6814.27520000,4.25679940000,2008,768.77100000
CoRoT-30 b,11.30988100,921.70700000,9.06005000000,2020,1032.23000000
CoRoT-31 b,16.36514000,266.97720000,4.62941000000,2020,2005.76000000
CoRoT-35 b,18.83108758,349.61124770,3.22748000000,2022,1123.21000000
CoRoT-36 b,15.80466279,216.12331676,5.61653100000,2022,925.95800000
CoRoT-4 b,13.33871000,223.43449000,9.20205000000,2008,726.41200000
CoRoT-6 b,13.28266500,940.77680000,8.88659300000,2009,645.29400000
CoRoT-7 b,1.68000000,21.00000000,0.85358500000,2009,159.90600000
CoRoT-8 b,6.38913000,69.28694000,6.21238100000,2010,322.03700000
CoRoT-9 b,11.77000000,266.97000000,95.27380000000,2009,412.98000000
CoRoTID 223977153 b,6.38913000,47.67450000,6.71837000000,2017,576.68300000
EPIC 220674823 c,2.77000000,5.70000000,13.33870000000,2016,244.59000000
EPIC 248847494 b,12.44199000,4131.79000000,3650.00000000000,2018,551.88600000
EPIC 249893012 b,1.95000000,8.75000000,3.59510000000,2020,321.29600000
EPIC 249893012 c,3.67000000,14.67000000,15.62400000000,2020,321.29600000
EPIC 249893012 d,3.94000000,10.18000000,35.74700000000,2020,321.29600000
GJ 1132 b,1.16000000,1.62000000,1.62893000000,2015,12.61300000
GJ 1214 b,2.74200000,8.17000000,1.58040433000,2009,14.64270000
GJ 1252 b,1.19300000,2.09000000,0.51823490000,2020,20.37300000
GJ 3090 b,2.13000000,3.34000000,2.85310540000,2022,22.47510000
GJ 341 b,0.88000000,4.00000000,7.57686000000,2025,10.45400000
GJ 3470 b,3.88000000,12.58000000,3.33664900000,2012,29.42140000
GJ 3473 b,1.26400000,1.86000000,1.19800350000,2020,27.36440000
GJ 3929 b,1.15000000,1.21000000,2.61627450000,2022,15.80950000
GJ 414 A b,2.63000000,7.60000000,50.80000000000,2021,11.88930000
GJ 414 A c,8.40000000,53.83000000,749.83000000000,2021,11.88930000
GJ 486 b,1.30500000,2.82000000,1.46711900000,2021,8.07426000
GJ 9827 c,1.24000000,1.45000000,3.64823000000,2017,29.66100000
HAT-P-1 b,13.64135300,166.54292000,4.46529340000,2006,158.97900000
HAT-P-12 b,10.76064000,66.74430000,3.21000000000,2009,142.75100000
HAT-P-22 b,12.10572000,682.69884000,3.21223120000,2010,81.76470000
HAT-P-25 b,13.33871000,180.20961000,3.65283600000,2010,300.38400000
HAT-P-27 b,11.63490000,209.75900000,3.03958600000,2011,199.17300000
HAT-P-29 b,12.40800000,247.26100000,5.72318600000,2011,313.57600000
HAT-P-3 b,9.97601000,190.38017000,2.89970300000,2007,134.55400000
HAT-P-32 b,22.19382000,216.12440000,2.15000820000,2011,289.20500000
HAT-P-33 b,18.89837400,209.76780000,3.47447400000,2011,396.11000000
